gene_id,SRR3051863,SRR3051864,SRR3051865,SRR3051866,SRR3051867,SRR3051868,SRR3051869,SRR3051870,SRR3051871
XLOC_017763,0,0,0,0,0,0,0,0,0
XLOC_017762,0,0,0,0,0,0,0,0,0
XLOC_017761,0,0,1,0,0,0,0,1,0
XLOC_017760,0,0,1,0,0,0,0,0,0
XLOC_017767,0,0,0,0,0,0,0,0,0
XLOC_017766,6,3,7,0,0,0,0,4,0
XLOC_017765,0,0,0,0,0,0,0,0,0
XLOC_017764,0,0,0,0,5,0,0,0,0
XLOC_017769,0,0,0,0,0,0,0,0,0
XLOC_017768,0,0,0,0,0,0,0,0,0
XLOC_013473,42158,47557,47816,14522,15714,12779,23141,20347,22265
XLOC_013472,374,370,769,127,61,306,7987,8369,7646
XLOC_036012,225,472,382,89,77,109,522,388,548
XLOC_013470,0,0,0,0,0,0,0,0,0
XLOC_036014,142,219,167,48,43,68,246,231,218
XLOC_036015,264,416,281,86,76,103,376,266,392
XLOC_013475,84,112,154,101,160,178,170,138,115
XLOC_036017,856,1796,1023,378,353,698,2249,1629,2198
XLOC_036018,257,382,309,686,849,603,397,365,432
XLOC_036019,30565,37469,27296,11614,13062,9694,15401,12832,14380
XLOC_013479,1,0,6,2,2,0,7,2,1
XLOC_013478,4,3,8,0,0,0,0,0,0
XLOC_025892,0,0,0,0,0,0,61,67,45
XLOC_012259,25,56,14,1618,1685,1646,235,171,177
XLOC_026998,0,0,0,0,0,0,0,3,0
XLOC_026999,68,48,46,34,40,37,18,18,14
XLOC_026994,1,0,2,5,0,0,0,0,0
XLOC_026995,0,0,0,0,0,0,10,0,0
XLOC_026996,2,4,0,0,0,5,4,0,0
XLOC_026997,0,2,0,0,1,0,0,0,3
XLOC_026990,1,1,1,1,2,4,2,2,1
XLOC_026991,1,3,2,0,0,0,0,0,2
XLOC_026992,8,14,29,17,17,17,24,36,43
XLOC_026993,0,0,0,0,0,0,0,0,0
XLOC_014110,0,2,0,2,0,0,3,2,0
XLOC_002419,0,0,0,0,0,0,0,0,0
XLOC_035971,89,173,160,67,49,90,157,139,75
XLOC_036010,15,20,23,18,0,12,57,43,54
XLOC_036011,15,92,44,6,3,13,42,63,49
XLOC_027447,470,583,633,179,259,284,344,375,338
XLOC_013471,93,71,204,34,33,83,1277,1144,1564
XLOC_014112,0,6,0,0,0,3,0,0,0
XLOC_036013,61,161,83,29,22,34,184,167,200
XLOC_002411,0,1,0,0,0,0,0,0,0
XLOC_013477,3,4,6,6,3,11,4,7,10
XLOC_002410,0,0,0,0,0,0,0,0,0
XLOC_013476,0,2,2,0,3,0,3,6,2
XLOC_026338,26,35,16,6,9,7,18,11,18
XLOC_026339,5,0,0,0,0,0,0,0,0
XLOC_036016,139,229,251,357,280,437,403,419,379
XLOC_026330,45,38,73,33,31,35,74,83,71
XLOC_026331,23,31,28,47,30,32,40,44,48
XLOC_026332,1733,2234,2177,2954,2979,3369,2490,2344,2333
XLOC_013474,374,506,719,741,708,896,1009,1008,1047
XLOC_026334,506,958,1198,259,223,252,425,514,458
XLOC_026335,165,188,393,148,284,179,249,211,477
XLOC_026336,19,18,16,16,12,22,22,7,17
XLOC_026337,32,62,39,54,42,51,92,68,58
XLOC_025973,0,0,0,0,0,2,1,0,0
XLOC_025972,5,8,4,0,0,0,0,1,0
XLOC_025971,69,63,57,53,47,42,95,92,66
XLOC_025970,7,14,5,1,1,3,1,1,4
XLOC_025977,0,0,0,4,0,0,0,0,0
XLOC_025976,13,23,14,4,0,3,13,4,0
XLOC_025975,8,5,11,0,0,0,0,3,0
XLOC_025974,1,3,1,4,4,0,0,0,0
XLOC_025979,182,144,161,122,84,131,78,84,84
XLOC_025978,0,0,7,0,0,0,3,0,0
XLOC_014908,0,0,3,0,6,2,0,0,0
XLOC_014909,2,2,3,0,6,7,0,0,2
XLOC_014906,61,114,123,76,285,82,131,70,71
XLOC_014907,89,153,126,90,133,113,67,60,64
XLOC_014904,986,1344,1195,2113,2413,1704,833,895,973
XLOC_014905,266,452,495,491,349,415,371,374,302
XLOC_014902,166,352,327,250,307,311,234,266,220
XLOC_014903,725,841,973,682,804,920,789,857,800
XLOC_014900,243,415,507,259,205,386,361,418,331
XLOC_014901,242,320,392,388,468,379,318,294,267
XLOC_021909,3,2,8,7,2,4,0,1,4
XLOC_034625,58,52,83,30,22,36,82,62,59
XLOC_034624,236,295,333,254,281,290,235,179,170
XLOC_034627,107,173,166,89,98,159,107,107,75
XLOC_034626,11,28,21,5,0,0,22,18,22
XLOC_034621,55,128,68,16,0,15,103,66,119
XLOC_015265,279,340,353,364,185,1047,774,760,728
XLOC_015059,2,7,7,3,3,0,0,0,1
XLOC_015058,0,0,0,0,0,0,165,124,53
XLOC_034623,223,271,173,120,129,174,235,276,238
XLOC_015053,0,0,0,0,0,0,0,0,0
XLOC_015052,584,689,764,660,843,931,771,764,802
XLOC_015051,10,9,15,10,0,21,44,43,47
XLOC_034622,0,11,2,0,0,0,22,12,16
XLOC_015057,1364,1846,1499,1760,2610,1559,948,741,945
XLOC_015056,0,0,0,0,0,0,7,7,0
XLOC_015055,328,412,1066,370,711,623,1121,2164,1982
XLOC_015054,42,58,86,9,26,33,22,67,46
XLOC_015268,21,28,34,6,9,7,25,15,16
XLOC_020643,7695,10529,14052,5831,4437,6814,8198,7903,6931
XLOC_005029,0,0,0,0,6,0,0,0,7
XLOC_005028,58,49,111,230,150,658,292,364,260
XLOC_005027,340,452,486,203,221,214,175,213,216
XLOC_020646,301,517,511,171,123,334,281,301,239
XLOC_005025,18,31,61,0,0,0,16,16,27
XLOC_005024,40,55,50,19,17,40,95,84,110
XLOC_005023,25,86,101,27,23,66,140,127,107
XLOC_005022,626,842,1056,1009,890,1088,1061,1110,905
XLOC_005021,398,664,656,1016,889,771,980,896,756
XLOC_005020,1067,1171,1130,984,1307,872,1351,931,1017
XLOC_017855,0,0,0,0,0,0,0,3,0
XLOC_023469,3,6,21,23,10,40,0,8,10
XLOC_023468,0,0,0,0,0,0,0,0,0
XLOC_028419,2,2,0,1,0,0,0,0,1
XLOC_027475,3,4,2,1,1,2,1,4,2
XLOC_023463,45,59,54,17,13,18,72,66,85
XLOC_023462,0,0,0,0,0,0,0,0,0
XLOC_023461,0,2,0,0,0,0,0,1,0
XLOC_023460,0,0,0,0,0,0,0,0,0
XLOC_023467,0,0,0,0,0,0,0,0,0
XLOC_023466,38,87,42,40,27,37,45,36,33
XLOC_023465,0,0,0,0,0,0,0,0,0
XLOC_023464,0,9,9,0,3,10,6,11,4
XLOC_010108,154,236,159,351,432,426,297,228,261
XLOC_010109,1441,2043,2098,2413,1828,2805,2981,2970,2641
XLOC_024208,0,0,0,0,0,0,0,0,0
XLOC_024209,960,1285,1348,1227,1335,1480,1170,1226,1170
XLOC_024206,0,0,3,0,0,0,13,13,13
XLOC_010103,593,572,571,455,570,658,606,530,567
XLOC_010100,162,205,178,150,147,304,68,83,68
XLOC_024205,0,6,0,0,0,0,4,7,11
XLOC_010106,101,178,133,113,107,148,119,122,133
XLOC_010107,107,184,190,92,50,106,149,149,150
XLOC_024200,3,3,2,1,0,2,2,2,6
XLOC_024201,0,0,0,0,0,0,0,0,0
XLOC_027472,5,8,11,0,0,3,0,3,0
XLOC_028413,70,70,111,106,88,128,54,37,46
XLOC_017852,0,7,6,2,3,4,4,6,2
XLOC_028412,10,29,22,5,0,4,6,10,8
XLOC_027478,4839,5628,5280,5995,7215,7005,7405,7129,7297
XLOC_017858,0,0,0,0,0,0,0,0,0
XLOC_017660,0,0,0,0,0,0,1,0,0
XLOC_004855,24,91,82,6,5,5,69,37,63
XLOC_004854,594,743,939,597,686,559,1325,1281,1270
XLOC_004857,1690,1950,1753,1352,1572,1751,2182,1970,2019
XLOC_004856,276,220,310,16,33,19,15,28,0
XLOC_004851,76,112,68,35,43,50,62,54,68
XLOC_004850,15410,17104,16736,7690,8413,7443,9526,7511,8212
XLOC_004853,269,409,440,391,262,494,775,937,928
XLOC_004852,465,623,534,627,767,486,465,430,406
XLOC_025155,57,55,53,60,69,80,130,139,138
XLOC_025154,0,1,0,0,0,0,0,0,0
XLOC_025157,1,0,2,0,0,0,9,3,2
XLOC_025156,14,13,10,2,5,8,20,16,29
XLOC_004859,0,0,0,0,0,0,0,0,0
XLOC_004858,4,6,0,10,16,10,0,0,2
XLOC_025153,266,268,262,73,59,37,35,19,43
XLOC_025152,5,16,16,21,15,26,18,11,19
XLOC_010818,0,0,0,0,0,0,0,0,0
XLOC_010819,0,0,0,0,0,0,0,0,2
XLOC_010810,0,0,0,0,0,0,0,0,0
XLOC_010811,3,5,4,0,0,0,0,0,0
XLOC_010812,567,662,777,769,620,657,575,588,633
XLOC_010813,5,2,2,20,10,0,0,0,0
XLOC_010814,24,35,28,13,13,10,2,10,6
XLOC_010815,5,2,3,3,6,2,2,4,4
XLOC_010816,3,4,3,0,0,0,0,2,2
XLOC_010817,3,0,3,0,0,0,0,1,3
XLOC_018559,4,6,0,0,0,0,0,0,0
XLOC_007317,0,0,0,0,0,0,0,2,0
