gene_id,SRR3051863,SRR3051864,SRR3051865,SRR3051866,SRR3051867,SRR3051868,SRR3051869,SRR3051870,SRR3051871
XLOC_007316,0,0,0,0,0,0,0,0,0
XLOC_007315,17,14,64,6,10,4,83,109,85
XLOC_007314,0,2,0,0,0,0,0,7,9
XLOC_007313,12,9,3,2,0,0,4,9,4
XLOC_007312,0,0,0,0,0,0,0,0,0
XLOC_007311,4,42,37,0,3,0,18,164,164
XLOC_007310,0,0,0,0,0,0,0,0,0
XLOC_007319,34,36,65,9,16,8,33,30,35
XLOC_007318,0,0,0,0,0,0,0,0,0
XLOC_019998,2,7,2,6,2,6,20,26,25
XLOC_019999,144,135,151,71,87,114,149,89,110
XLOC_019996,0,0,2,4,0,0,2,2,4
XLOC_019997,284,337,414,120,74,124,112,120,106
XLOC_019994,0,3,3,0,0,0,5,8,5
XLOC_019995,21,33,24,4,6,4,33,41,32
XLOC_019992,22,28,53,10,11,22,26,30,25
XLOC_019993,0,0,0,0,0,0,0,3,0
XLOC_019990,0,2,2,0,0,0,0,0,0
XLOC_019991,128,185,151,46,37,40,147,106,127
XLOC_030914,0,0,0,0,0,1,1,0,0
XLOC_012522,105,198,150,27,86,29,98,80,86
XLOC_012523,267,306,331,183,172,120,77,78,74
XLOC_012520,11,14,11,1,0,4,3,4,0
XLOC_012521,406,526,481,107,122,41,123,80,56
XLOC_002848,1776,2287,1944,1413,1735,1986,2434,2103,2113
XLOC_002849,0,0,0,0,0,0,0,0,0
XLOC_005818,1414,1810,1866,1833,1897,1782,2253,2132,2149
XLOC_005819,370,535,611,265,235,304,272,321,314
XLOC_005816,240,224,263,110,80,107,382,417,584
XLOC_005817,5267,6506,6417,5453,6636,6875,7167,6725,6442
XLOC_002846,0,7,0,0,0,0,0,8,5
XLOC_002847,730,965,1072,392,427,515,826,887,832
XLOC_005812,56,68,40,12,20,12,1324,1180,1571
XLOC_002841,818,1357,821,227,131,115,33,38,56
XLOC_002842,1127,1651,1356,938,1177,1161,741,709,686
XLOC_002843,88,71,104,87,91,86,73,74,63
XLOC_024789,152,150,251,116,147,133,172,244,288
XLOC_024788,374,549,418,230,197,206,182,186,221
XLOC_024783,0,0,0,0,0,0,0,0,0
XLOC_024782,0,0,8,0,0,0,8,6,6
XLOC_024781,0,0,0,0,0,0,0,0,0
XLOC_024780,0,8,7,0,0,0,8,5,0
XLOC_024787,0,7,1,0,0,5,0,0,0
XLOC_024786,1619,2577,2190,2283,2069,2320,1947,1638,1862
XLOC_024785,50,59,82,61,37,51,20,54,38
XLOC_024784,0,0,0,0,0,0,0,0,0
XLOC_018717,23,50,44,0,9,0,24,24,24
XLOC_018716,11,73,55,730,824,590,78,59,59
XLOC_018715,61,73,123,447,488,454,12,14,17
XLOC_018714,44,61,60,44,32,46,61,75,65
XLOC_018713,2970,4199,3593,3520,3955,3964,4107,3862,3542
XLOC_018712,256,298,490,234,109,57,146,93,138
XLOC_018711,463,645,767,445,360,548,1613,1458,1662
XLOC_018710,48,96,116,25,24,33,496,407,612
XLOC_018719,19,27,28,21,16,16,87,85,93
XLOC_018718,197,291,198,303,299,403,245,234,261
XLOC_006506,3,0,0,0,2,1,0,0,0
XLOC_019269,14,19,13,21,19,41,29,28,66
XLOC_006549,59,59,57,15,21,24,18,39,27
XLOC_006548,66,149,149,410,367,232,76,66,57
XLOC_006545,2035,2505,2338,2837,3596,3147,2614,2561,2289
XLOC_006544,240,421,472,153,138,139,261,238,190
XLOC_006547,33,51,49,0,5,0,23,49,35
XLOC_006546,568,811,782,3407,3032,2442,895,907,970
XLOC_006541,0,4,2,3,2,3,34,37,34
XLOC_006540,5,4,3,0,1,0,7,10,0
XLOC_006543,16,175,96,112,97,204,150,113,67
XLOC_006542,0,4,0,3,3,0,64,41,49
XLOC_009250,0,0,0,0,0,0,0,0,0
XLOC_009251,0,0,0,0,0,0,0,0,0
XLOC_009252,63,35,40,0,26,13,48,42,28
XLOC_009253,83,126,177,9,9,29,239,173,153
XLOC_032388,0,0,0,2,1,1,6,0,3
XLOC_032389,69,132,105,25,27,28,72,80,45
XLOC_009256,0,0,3,0,0,0,0,3,0
XLOC_009257,4,4,5,12,5,5,14,9,4
XLOC_032384,776,826,980,585,552,602,612,652,633
XLOC_009259,559,807,680,688,753,617,528,447,464
XLOC_032386,1078,1371,1757,789,710,649,594,624,691
XLOC_032387,0,0,2,3,0,0,8,5,10
XLOC_032380,5,11,11,7,0,0,0,0,8
XLOC_032381,42,53,76,11,17,24,345,325,359
XLOC_032382,323,585,400,383,559,317,802,753,827
XLOC_032383,41,72,82,81,86,62,166,165,143
XLOC_001005,0,0,0,0,0,0,29,20,16
XLOC_001004,15,31,28,129,41,40,2201,1959,1919
XLOC_001007,7,0,5,0,8,18,147,189,219
XLOC_001006,0,0,6,0,0,0,668,419,603
XLOC_001001,0,0,0,0,0,0,0,0,0
XLOC_001000,0,15,47,14,5,19,52,55,64
XLOC_001003,34,21,29,12,10,13,0,2,0
XLOC_001002,2,0,0,1,0,0,0,0,0
XLOC_001009,2040,3102,3743,920,957,1650,2269,2400,2248
XLOC_001008,668,809,784,647,755,409,407,396,407
XLOC_004039,0,0,2,2,0,3,2,0,0
XLOC_004038,2,3,7,6,4,5,4,3,3
XLOC_032699,0,1,3,0,0,0,2,2,0
XLOC_006494,0,0,4,3,0,0,0,0,0
XLOC_014754,6,19,11,0,0,0,0,4,4
XLOC_007714,0,0,0,0,0,0,36,40,33
XLOC_033260,885,1209,1228,496,457,629,1026,980,1055
XLOC_033261,0,0,0,0,0,0,0,0,0
XLOC_033262,0,0,0,0,0,0,0,0,0
XLOC_033263,0,0,0,0,0,0,0,0,0
XLOC_033264,18,34,41,0,9,0,77,83,85
XLOC_033265,62,72,74,50,45,27,58,34,60
XLOC_033266,1,1,3,2,1,15,3,2,2
XLOC_033267,4,11,7,9,7,4,0,9,14
XLOC_033268,14,16,0,10,14,19,6,10,6
XLOC_033269,14,0,8,13,15,15,3,14,11
XLOC_009788,163,210,246,72,63,115,252,244,207
XLOC_009789,1013,1327,1246,632,630,878,1074,987,1079
XLOC_009782,6,8,6,2,3,3,6,19,16
XLOC_009783,27,79,56,82,85,90,163,117,150
XLOC_009780,0,6,1,0,4,0,0,0,0
XLOC_009781,0,0,0,0,0,0,0,11,4
XLOC_009786,305,393,499,181,199,267,406,379,365
XLOC_009787,272,315,469,111,124,202,380,377,411
XLOC_009784,0,0,0,0,0,0,0,0,0
XLOC_009785,968,1240,1274,562,447,596,620,712,610
XLOC_014111,3,3,5,15,16,10,2,4,4
XLOC_002068,706,677,541,395,446,440,529,558,571
XLOC_002069,1,1,1,1,1,1,1,1,0
XLOC_002066,0,0,4,9,0,3,2,15,6
XLOC_002067,39,62,41,9,0,0,80,81,97
XLOC_002064,0,8,3,0,5,7,0,0,7
XLOC_002065,6,4,6,0,0,0,3,2,2
XLOC_002062,0,0,0,3,3,27,8,7,7
XLOC_002063,1088,1380,1372,791,1028,1030,1226,1174,1287
XLOC_002060,2540,3255,3357,1848,1801,2464,1873,1829,1735
XLOC_002061,63,115,133,86,70,266,832,727,773
XLOC_004386,154,233,257,83,97,94,101,97,106
XLOC_027801,47,17,9,13,66,49,106,34,12
XLOC_027800,361,565,535,640,719,612,606,614,635
XLOC_027803,0,0,0,0,0,0,0,0,0
XLOC_027802,0,0,0,0,0,0,16,14,14
XLOC_027805,5,8,9,0,0,0,55,38,49
XLOC_027804,4,7,6,1,3,1,2,2,2
XLOC_027807,83,132,123,37,34,59,49,88,76
XLOC_027806,7,6,11,0,3,0,189,219,161
XLOC_027809,8,15,12,205,108,198,967,815,840
XLOC_027808,12,8,7,0,0,10,20,27,25
XLOC_032609,0,0,0,0,0,0,0,0,0
XLOC_032608,127,203,179,130,170,191,212,194,162
XLOC_003339,14,14,7,7,0,3,14,9,15
XLOC_003338,6,5,11,0,3,0,7,2,3
XLOC_003335,130,76,60,182,378,340,235,218,331
XLOC_003334,520,682,613,183,174,230,682,549,651
XLOC_003337,3,0,0,5,4,3,7,10,11
XLOC_003336,0,4,6,7,8,13,16,16,8
XLOC_003331,275,360,358,150,119,187,180,190,197
XLOC_003330,3,84,66,282,31,259,271,235,35
XLOC_003333,93,192,151,52,77,82,89,100,99
XLOC_003332,53,114,116,56,23,74,92,67,59
XLOC_001782,0,11,0,4,5,5,0,3,2
XLOC_001783,5,5,5,0,0,3,0,0,0
XLOC_001780,20,18,18,10,4,14,36,37,21
XLOC_001781,4,10,11,7,4,3,16,15,7
XLOC_001786,0,0,0,0,0,0,0,0,0
XLOC_001787,0,0,0,0,0,0,0,0,0
XLOC_001784,18,17,19,10,16,24,22,33,35
XLOC_001785,8,8,7,11,9,10,14,7,12
XLOC_001788,0,3,0,1,0,1,14,3,2
XLOC_001789,0,0,0,0,0,0,0,0,0
XLOC_008565,3569,5457,4246,4883,5613,5681,8313,7728,7669
XLOC_023387,8,11,15,0,1,3,31,4,10
XLOC_023384,1,0,0,3,1,2,0,3,3
XLOC_008566,38,60,74,34,45,35,46,52,20
XLOC_008561,12,25,16,6,1,3,6,7,8
XLOC_008560,6,11,5,3,3,2,3,2,0
XLOC_001874,24,28,49,191,180,293,235,302,266
XLOC_001875,72,63,85,526,364,476,601,602,697
XLOC_001876,203,288,198,44,65,66,97,73,75
XLOC_001877,352,491,622,319,324,335,330,321,375
XLOC_001870,37,29,21,15,27,36,1,4,4
XLOC_001871,4,0,8,5,0,6,4,0,3
XLOC_001872,1,3,1,1,0,1,1,2,1
XLOC_001873,9,14,18,23,11,14,391,1739,1930
XLOC_023381,28,30,34,20,36,35,17,27,14
XLOC_001878,28,34,36,29,25,23,56,52,50
XLOC_001879,39,10,19,121,144,124,54,100,111
XLOC_026333,0,7,11,3,0,11,13,21,16
XLOC_026039,0,0,0,0,0,0,0,0,0
XLOC_026038,1,0,0,3,5,5,0,0,0
XLOC_026037,15,12,19,21,30,20,7,5,7
XLOC_026036,0,0,2,0,0,0,0,0,0
XLOC_026035,2,0,0,0,0,0,0,0,0
XLOC_026034,0,0,0,0,0,0,0,0,0
XLOC_026033,0,0,0,0,0,0,0,0,0
XLOC_026032,12,6,18,8,4,6,0,4,13
XLOC_026031,25,38,47,12,14,19,10,12,21
XLOC_026030,0,0,0,0,0,6,7,0,0
XLOC_035378,36,47,41,7,6,4,45,27,18
XLOC_035379,281,322,306,159,212,209,289,292,273
XLOC_035370,2890,3477,3435,1930,2783,2010,4361,3884,4645
XLOC_035371,0,0,0,0,0,0,12,25,20
XLOC_035372,976,1366,1571,2437,2511,2657,2239,2277,2086
XLOC_035373,124,170,150,22,53,45,112,90,88
XLOC_035374,111,103,122,77,72,76,90,53,42
XLOC_035375,60,73,91,7,0,17,71,90,86
XLOC_035376,112,117,162,38,76,70,79,64,68
XLOC_035377,529,546,509,394,481,428,573,447,511
XLOC_026781,0,8,0,0,0,6,196,168,197
XLOC_026780,82,105,107,45,77,69,70,88,76
XLOC_026783,969,2074,1052,275,220,363,1834,1413,1552
XLOC_026782,949,2292,1193,308,235,419,1759,1485,1569
XLOC_026785,2857,3885,3780,3307,3630,3874,3060,2854,2685
XLOC_026784,2234,4527,2650,715,698,843,3515,2778,3280
XLOC_026787,36,18,43,34,60,45,49,45,49
XLOC_026786,577,698,818,659,640,689,922,948,915
XLOC_026789,0,8,5,0,0,3,25,0,0
XLOC_026788,251,338,353,148,171,199,278,232,213
XLOC_030971,130,204,141,84,84,130,154,117,147
XLOC_030970,133,132,90,274,251,178,45,34,74
XLOC_030973,4,23,28,0,3,5,15,18,4
XLOC_030972,18,25,22,0,5,7,7,14,12
XLOC_014600,0,29,14,0,0,0,8,0,0
XLOC_030975,493,377,575,878,1094,742,412,321,393
XLOC_030974,508,735,672,554,601,623,520,523,526
XLOC_030977,352,453,478,173,211,272,276,319,277
XLOC_030976,0,0,0,0,0,0,0,0,0
XLOC_013925,76,79,118,13,20,23,1067,907,1011
XLOC_013924,0,0,0,0,0,0,37,34,43
XLOC_013927,155,197,235,113,88,125,218,194,196
XLOC_013926,277,362,313,340,288,337,396,276,363
XLOC_013921,0,0,0,0,0,0,0,0,0
XLOC_013920,0,0,0,0,0,0,0,0,0
XLOC_034779,511,722,876,613,655,876,547,648,497
XLOC_034778,0,0,0,0,0,0,0,0,0
XLOC_034777,0,7,20,0,0,0,0,7,9
XLOC_034776,0,11,12,0,0,0,14,0,0
XLOC_034775,110,179,202,83,88,119,205,145,146
XLOC_034774,0,0,0,0,0,0,0,0,0
XLOC_013929,1,2,0,0,0,0,1,1,0
XLOC_013928,0,0,0,0,0,0,0,0,0
XLOC_034771,338,519,511,611,574,585,522,430,494
XLOC_034770,282,310,292,156,169,188,186,203,150
XLOC_027788,6,29,15,10,18,42,8,0,8
XLOC_027789,0,0,13,6,15,16,0,0,0
XLOC_027786,151,139,177,169,195,163,312,239,153
XLOC_027787,718,948,967,900,931,1152,796,820,804
XLOC_027784,1,0,2,0,0,3,0,3,3
XLOC_027785,112,101,75,47,36,47,59,97,59
XLOC_027782,0,2,0,0,0,0,0,0,0
XLOC_027783,7,6,5,0,0,0,2,6,6
XLOC_027780,0,0,0,0,0,0,0,0,1
XLOC_027781,0,0,2,0,0,0,0,0,0
XLOC_015448,6,7,8,6,4,3,13,14,14
XLOC_015449,602,685,761,769,854,817,566,586,623
XLOC_015444,0,0,0,0,0,0,0,0,0
XLOC_015445,24,41,27,12,15,19,7,13,14
XLOC_015446,0,0,0,0,2,0,0,0,0
XLOC_015447,0,1,0,1,0,1,0,1,0
XLOC_015440,22,36,45,134,125,110,10,11,14
XLOC_015441,251,213,191,506,501,415,48,46,58
XLOC_015442,4,0,0,0,0,3,0,2,2
XLOC_015443,22,23,31,31,20,19,21,4,11
XLOC_020066,0,0,0,0,0,0,0,0,0
XLOC_020067,1,0,1,0,0,0,0,1,3
XLOC_020064,2,0,2,16,13,13,0,6,0
XLOC_020065,0,0,0,0,0,0,0,0,0
XLOC_020062,129,138,131,57,65,79,74,55,75
XLOC_020063,0,0,0,0,2,2,0,0,0
XLOC_020060,0,0,0,3,3,7,3,6,2
XLOC_020061,2,7,0,60,95,171,39,18,23
XLOC_020068,0,0,0,0,3,0,9,16,5
XLOC_020069,0,0,0,0,0,0,6,4,0
XLOC_016816,0,0,0,0,0,0,0,0,0
XLOC_016817,10,18,14,11,13,13,0,0,8
XLOC_016814,255,506,521,31,46,6,833,936,997
XLOC_016815,6,6,19,8,6,14,11,14,0
XLOC_016812,0,0,0,0,0,0,0,0,0
XLOC_016813,0,0,0,0,0,0,3,0,3
XLOC_016810,4,2,7,17,10,32,0,0,0
XLOC_016811,15,51,31,31,28,48,55,43,34
XLOC_014713,4,4,6,0,0,0,2,2,0
XLOC_014712,0,0,0,3,3,5,24,17,40
XLOC_014711,0,0,0,0,0,0,0,11,15
XLOC_014710,0,2,0,2,2,4,6,14,7
XLOC_014717,77,212,47,6008,6293,2996,1595,1085,1097
XLOC_014716,0,0,0,0,0,0,0,0,0
XLOC_014715,0,0,0,0,0,0,0,0,0
XLOC_014714,0,0,0,0,0,0,0,0,0
XLOC_014719,207,335,279,114,142,155,182,141,173
XLOC_014718,24,38,37,10,8,17,42,30,41
XLOC_021335,0,0,0,77,561,146,97,49,191
XLOC_021334,108,164,117,52,73,126,351,309,349
XLOC_017354,72,55,115,25,32,30,41,42,34
XLOC_021336,1883,2644,2544,865,1016,1181,1387,1313,1446
XLOC_021331,635,803,594,1668,1784,1523,858,836,901
XLOC_017353,154,69,219,0,0,26,40,104,42
XLOC_017350,605,846,759,948,863,710,1253,965,989
XLOC_021332,35,41,53,36,27,42,43,59,53
XLOC_021339,322,412,338,171,113,110,152,137,165
XLOC_021338,440,544,606,88,83,153,333,359,403
XLOC_017358,709,977,1112,605,776,687,639,631,764
XLOC_017359,369,570,592,456,409,411,563,545,467
XLOC_026819,5,0,12,3,4,3,5,0,3
XLOC_026818,4,0,3,0,2,0,0,3,0
XLOC_016407,152,211,196,220,235,233,146,142,155
XLOC_016406,86,102,154,116,170,144,90,109,96
XLOC_016401,10,20,11,17,11,18,25,24,27
XLOC_016400,0,0,0,0,0,0,1,3,5
XLOC_023869,39,63,67,13,0,0,38,41,62
XLOC_023868,495,641,631,463,480,528,600,575,529
XLOC_023867,1595,1770,2035,1406,1500,1429,1674,1784,1538
XLOC_023866,17,20,12,0,6,0,12,19,5
XLOC_023865,0,0,0,0,0,0,0,0,0
XLOC_023864,359,458,486,1970,1836,1814,1161,1059,955
XLOC_026815,2,4,6,1,0,7,4,0,0
XLOC_026814,21,9,28,12,3,12,19,24,11
XLOC_026817,0,3,3,0,0,0,2,0,0
XLOC_026816,10,15,8,17,9,7,2,4,8
XLOC_017000,0,0,0,0,0,0,0,0,0
XLOC_008288,4,19,13,18,8,9,35,30,50
XLOC_025546,9,0,14,9,4,7,1255,1235,793
XLOC_025547,0,0,0,0,0,0,200,190,172
XLOC_025544,204,224,234,225,197,208,89,105,111
XLOC_025545,259,261,302,291,266,324,78,85,134
XLOC_025542,152,171,217,328,217,362,277,247,214
XLOC_025543,1079,1417,1487,3479,3479,2943,1490,1446,1530
XLOC_025540,12,28,33,6,7,13,0,10,26
XLOC_025541,16,29,40,21,10,24,23,18,5
XLOC_025548,22,71,61,79,65,84,468,423,475
XLOC_025549,151,366,387,107,57,129,3625,3818,3519
XLOC_028716,0,0,1,0,0,0,52,33,64
XLOC_019606,33,71,72,3,14,10,41,50,54
XLOC_019607,174,257,221,100,76,113,251,179,214
XLOC_019604,57,73,89,18,10,22,104,106,99
XLOC_019605,431,610,552,196,195,204,285,319,314
XLOC_019602,399,717,670,2574,2393,1889,695,808,835
XLOC_019603,794,1103,938,221,190,498,1226,1072,1139
XLOC_019600,1295,1778,1697,1754,1865,1873,1276,1254,1059
XLOC_019601,0,6,0,0,0,0,0,0,0
XLOC_019608,28,36,53,20,21,45,36,44,56
XLOC_019609,158,221,263,115,133,187,179,160,204
XLOC_018555,2,4,0,0,3,1,2,1,3
XLOC_018554,0,0,0,2,0,0,0,2,0
XLOC_010768,611,989,879,156,134,95,327,347,374
XLOC_010769,466,536,564,394,306,574,1033,855,1135
XLOC_018551,2,0,0,1,2,0,0,0,1
XLOC_018550,0,4,6,0,0,0,6,4,8
XLOC_018553,0,0,0,5,1,0,1,1,2
XLOC_018552,8,21,20,0,0,7,35,34,33
XLOC_010762,225,351,405,143,169,189,344,376,292
XLOC_010763,0,0,0,0,0,0,0,0,0
XLOC_010760,314,397,404,33,39,31,65,44,60
XLOC_010761,582,1073,781,119,106,137,178,166,208
XLOC_010766,0,0,0,0,0,0,0,0,0
XLOC_010767,15,36,21,4,0,7,1441,1344,1760
XLOC_010764,0,2,4,1,1,1,0,0,0
