gene_id,SRR14333319,SRR14333320,SRR14333321,SRR14333322,SRR14333323,SRR14333324,SRR14333325,SRR14333326,SRR14333327
SpisGene3669,0,0,0,0,0,0,0,0,0
SpisGene3668,229,186,230,20,106,88,15,14,17
SpisGene3666,2910,2511,2477,6818,3977,4747,4640,3838,4905
SpisGene3665,881,913,877,465,833,1322,466,425,393
SpisGene3664,1223,1242,1628,4241,1489,993,726,945,715
SpisGene3663,26,48,53,25,20,58,10,0,11
SpisGene3662,185,187,179,60,100,99,92,61,140
SpisGene3661,468,317,287,141,512,323,364,331,258
SpisGene3660,220,158,190,251,326,534,142,100,152
SpisGene20904,0,0,0,0,0,0,0,0,0
SpisGene20905,25,50,33,36,81,133,17,6,5
SpisGene20906,0,0,0,0,0,0,0,0,0
SpisGene20907,66,60,38,14,15,6,9,0,0
SpisGene20900,0,0,0,0,0,0,0,0,0
SpisGene20901,9,0,0,0,8,7,0,0,0
SpisGene20902,3,0,0,0,0,0,0,0,0
SpisGene20903,22,73,165,21,188,22,47,41,4
SpisGene20908,0,0,0,0,0,0,0,0,0
SpisGene20909,17,17,47,5,7,2141,0,5,22
SpisGene16163,177,176,173,42,100,135,130,41,71
SpisGene16162,0,7,0,1,0,3,0,0,0
SpisGene16161,64,75,84,25,17,55,30,3,15
SpisGene16160,42,66,56,7,15,87,0,0,8
SpisGene16167,0,0,0,3,0,0,0,0,0
SpisGene16166,342,94,30,868,2749,2112,2985,4990,2620
SpisGene22214,58,64,146,0,17,0,0,0,2
SpisGene16164,76,101,54,11,31,70,6,0,0
SpisGene16169,154,128,152,117,330,262,90,226,121
SpisGene22219,0,0,0,0,0,0,0,0,0
SpisGene4811,5,0,0,0,0,7,0,0,0
SpisGene4810,27,80,37,5,12,119,0,0,27
SpisGene4813,443,405,491,247,816,843,56,29,67
SpisGene4812,174,211,152,61,74,179,78,48,102
SpisGene4815,0,5,0,0,0,9,0,0,9
SpisGene3846,5,8,3,3,6,8,0,3,6
SpisGene4817,35,45,46,11,12,21,18,0,16
SpisGene4816,107,130,134,207,98,81,23,29,30
SpisGene21749,0,0,0,0,0,0,0,0,0
SpisGene21748,0,0,0,0,0,0,0,0,0
SpisGene21745,0,0,0,0,0,0,0,0,0
SpisGene21744,0,0,0,0,0,0,0,0,0
SpisGene21747,0,0,3,0,0,0,0,0,0
SpisGene21746,58,19,96,3,23,4,0,0,0
SpisGene21741,8,30,33,0,42,0,4,0,0
SpisGene21740,0,0,0,0,0,0,0,0,0
SpisGene21743,0,0,0,0,0,0,0,0,0
SpisGene21742,2,5,6,0,3,8,0,0,0
SpisGene17692,268,319,330,218,497,252,314,116,128
SpisGene17693,7,22,17,0,10,15,0,0,0
SpisGene17690,685,923,619,35,108,119,56,5,35
SpisGene17691,0,0,0,0,0,0,4,0,0
SpisGene17696,477,657,597,131,326,334,339,140,177
SpisGene17697,231,234,298,505,836,753,107,23,68
SpisGene17694,8,7,6,0,0,6,0,0,0
SpisGene17695,160,135,201,46,140,281,48,29,27
SpisGene17698,261,168,221,36,60,44,20,37,10
SpisGene17348,186,192,239,72,258,190,109,53,53
SpisGene17349,47,68,48,6,7,56,21,7,10
SpisGene17340,530,573,590,1827,1840,1986,886,208,467
SpisGene17341,112,94,125,25,61,51,26,26,20
SpisGene17342,32,472,96,0,51,5,0,0,0
SpisGene17343,0,5,0,0,0,0,0,0,0
SpisGene17344,613,506,580,57,29,117,40,84,77
SpisGene17345,127,100,84,11,53,105,123,115,149
SpisGene17346,122,100,89,50,54,171,96,13,74
SpisGene17347,160,260,238,11,37,73,44,0,22
SpisGene7379,6,5,18,0,8,21,11,0,6
SpisGene7378,0,6,0,3,6,0,0,0,0
SpisGene7375,268,201,221,55,349,424,72,23,50
SpisGene7374,137,93,157,34,35,22,16,56,31
SpisGene7377,934,934,1109,2122,1216,764,609,750,559
SpisGene7376,265,210,240,83,104,320,30,23,63
SpisGene7371,55,37,24,67,308,279,342,429,330
SpisGene7370,1422,1275,1055,1609,1560,2847,2008,2492,1996
SpisGene7373,242,234,211,23,51,85,16,52,61
SpisGene25843.Novel,6,30,23,11,4,47,6,3,9
SpisGene5209,149,125,126,61,89,142,33,24,39
SpisGene5208,453,646,640,227,274,424,599,455,521
SpisGene5203,0,0,0,0,0,0,0,0,0
SpisGene5202,8,0,0,0,5,16,13,6,22
SpisGene5201,85,104,50,0,58,0,0,0,0
SpisGene5200,6,5,3,4,4,9,6,3,3
SpisGene5207,165,143,162,46,73,156,60,20,40
SpisGene5206,324,343,318,103,430,792,172,74,218
SpisGene5205,1,3,2,0,3,2,0,0,0
SpisGene5204,137,129,130,45,78,233,23,28,17
SpisGene18525,0,0,0,0,5,0,0,0,0
SpisGene18524,0,17,13,0,18,15,0,0,0
SpisGene18527,13,22,14,12,17,14,4,0,0
SpisGene15334,83,109,137,209,145,122,51,27,28
SpisGene15333,551,528,523,459,589,605,212,180,159
SpisGene18520,1384,1278,1406,1210,1581,2525,647,1190,1008
SpisGene15458,0,78,94,0,9,13,0,0,0
SpisGene15459,0,29,61,0,10,5,0,0,0
SpisGene15331,1800,2329,1827,648,1200,1530,1108,376,623
SpisGene15452,0,0,0,0,0,0,0,0,0
SpisGene15453,0,20,9,0,0,0,0,0,0
SpisGene15450,4,0,0,0,8,0,0,0,0
SpisGene15330,22,15,26,44,24,37,15,5,0
SpisGene15456,0,0,0,0,0,0,0,0,0
SpisGene15457,0,0,0,0,0,8,0,0,0
SpisGene15454,0,0,0,0,0,0,0,0,0
SpisGene15455,7,7,6,2,2,2,2,3,3
SpisGene11348,1798,1328,1123,488,560,1334,445,229,524
SpisGene11349,274,243,230,130,445,599,96,36,75
SpisGene11342,1618,1836,1956,900,1990,1119,900,386,588
SpisGene11343,64,54,72,0,0,41,17,0,23
SpisGene11340,13,17,15,0,20,35,13,0,0
SpisGene11341,227,257,315,95,254,276,45,0,19
SpisGene11346,136,162,109,63,68,116,82,110,69
SpisGene11347,504,464,479,878,600,1121,833,1251,780
SpisGene11344,77,65,54,6,0,8,27,8,31
SpisGene11345,357,202,215,116,584,801,123,238,296
SpisGene19597,169,107,230,21,289,23,27,28,12
SpisGene19596,10,16,9,0,10,19,4,4,6
SpisGene19595,19,57,64,5,6,25,19,4,13
SpisGene19594,40,86,102,25,13,40,29,17,27
SpisGene19593,0,0,0,0,0,0,0,0,0
SpisGene19592,0,0,0,0,0,0,0,0,0
SpisGene19591,578,401,525,0,20,80,26,19,38
SpisGene19590,0,0,0,0,0,0,0,0,0
SpisGene19599,32,62,46,5,41,33,0,15,20
SpisGene19598,0,12,0,0,0,0,0,0,0
SpisGene8208,0,0,0,0,0,0,0,0,0
SpisGene8209,0,0,0,0,0,0,0,0,0
SpisGene12647,0,0,0,0,0,0,0,0,0
SpisGene8200,198,305,288,56,84,74,96,54,61
SpisGene8201,158,164,152,128,292,380,41,28,22
SpisGene8202,91,48,55,37,52,99,28,20,9
SpisGene8204,123,173,197,82,81,89,48,7,30
SpisGene8205,1275,1190,1532,1406,1542,960,1245,684,710
SpisGene8206,83,74,153,42,52,88,26,11,13
SpisGene8207,816,588,573,430,477,868,395,790,886
SpisGene4554,9,14,14,2,0,13,0,3,0
SpisGene4555,41,41,34,15,8,0,0,0,7
SpisGene4556,144,118,171,562,801,134,0,8,0
SpisGene12645,0,0,0,0,0,0,0,0,0
SpisGene4550,105,103,83,15,38,104,33,3,17
SpisGene4551,47,45,59,6,8,30,10,0,29
SpisGene4552,4,0,0,0,0,0,0,0,0
SpisGene4553,55,66,44,0,13,19,5,0,0
SpisGene12642,0,0,0,0,0,0,0,0,0
SpisGene4558,0,0,6,12,0,0,0,0,0
SpisGene4559,6,0,2,4,0,0,0,0,0
SpisGene12643,0,0,0,0,0,7,0,0,0
SpisGene12640,0,12,0,0,0,0,0,0,0
SpisGene12641,0,0,5,0,0,0,0,0,0
