gene_id,SRR14333319,SRR14333320,SRR14333321,SRR14333322,SRR14333323,SRR14333324,SRR14333325,SRR14333326,SRR14333327
SpisGene1005,28,6,20,13,25,38,12,0,11
SpisGene1004,443,272,259,373,679,567,295,342,344
SpisGene1007,327,357,355,144,367,353,256,73,228
SpisGene1006,387,363,337,106,154,203,148,111,199
SpisGene1001,162,170,169,170,125,34,11,14,24
SpisGene1000,6509,3047,2251,9843,7560,3592,5320,5750,2779
SpisGene1003,553,408,445,281,195,320,364,67,170
SpisGene1002,683,768,756,127,535,237,99,25,56
SpisGene1009,736,718,618,1393,1418,1452,1102,1492,1205
SpisGene1008,131,97,110,81,492,390,25,8,14
SpisGene12105,758,749,962,661,1340,440,44,17,32
SpisGene12104,0,0,0,0,0,0,0,0,0
SpisGene12107,286,289,396,573,770,617,29,22,50
SpisGene12106,17,43,15,9,35,11,14,23,6
SpisGene12101,15,42,18,6,23,28,22,27,30
SpisGene12100,2381,2312,2296,3350,1879,3604,6071,9335,10196
SpisGene12103,1779,2033,1893,518,2446,1609,1591,1438,1583
SpisGene12102,0,5,5,0,0,0,0,0,0
SpisGene12109,12,17,16,3,4,3,2,1,4
SpisGene12108,352,276,375,272,501,485,146,30,159
SpisGene13850,19301,13278,11772,21791,14684,20054,63786,45619,42351
SpisGene13851,87,43,76,65,211,185,24,16,67
SpisGene13852,286,328,256,32,66,90,40,6,14
SpisGene13853,143,207,143,0,34,44,9,24,7
SpisGene13854,108,192,118,67,92,65,88,28,25
SpisGene13855,58,66,60,20,88,69,17,13,4
SpisGene13856,410,315,337,51,109,247,150,32,84
SpisGene13857,0,11,14,0,0,0,0,0,0
SpisGene13858,189,165,210,48,145,192,32,0,0
SpisGene13859,105,133,123,27,46,98,27,36,40
SpisGene25433,9,10,23,0,0,5,13,0,0
SpisGene25432,0,0,0,0,0,0,0,0,0
SpisGene25431,0,0,0,0,0,0,0,0,0
SpisGene25430,0,0,0,0,0,0,0,0,0
SpisGene25437,0,0,0,0,0,0,0,0,0
SpisGene25436,0,0,0,0,0,0,0,0,0
SpisGene25435,0,0,0,0,0,0,0,0,0
SpisGene25434,0,0,0,0,0,0,0,0,0
SpisGene25439,8,7,9,3,9,4,0,0,2
SpisGene25438,0,0,0,0,0,0,0,0,0
SpisGene5788,57,99,100,0,8,169,0,0,15
SpisGene5789,1268,1942,1744,10,45,220,0,6,7
SpisGene5786,180,273,219,62,55,276,142,62,73
SpisGene5787,191,136,197,21,11,86,80,16,38
SpisGene5784,0,0,0,4,29,0,0,0,0
SpisGene5785,88,97,102,911,4894,1232,10,4,8
SpisGene5782,0,5,0,0,0,0,0,0,2
SpisGene5783,13,7,15,0,6,0,0,0,0
SpisGene5780,0,0,0,0,0,0,0,0,0
SpisGene5781,0,0,0,0,0,0,0,0,0
SpisGene6848,57,59,47,66,41,45,26,17,37
SpisGene6849,5045,6384,5658,1643,3127,2910,2099,1325,1679
SpisGene6844,0,5,9,0,0,5,0,0,6
SpisGene6845,240,305,252,624,682,740,311,178,257
SpisGene6846,352,281,339,670,1466,1320,137,364,185
SpisGene6847,283,280,238,283,277,613,335,296,335
SpisGene6840,37,20,16,11,0,38,0,10,4
SpisGene6841,45,47,70,42,53,78,9,7,5
SpisGene6842,243,192,150,108,338,412,144,78,142
SpisGene6843,55,73,33,0,0,38,6,0,25
SpisGene23879,16,12,14,2,0,6,5,0,2
SpisGene23878,21,34,29,0,8,45,0,0,0
SpisGene23871,5,0,0,0,0,0,0,0,0
SpisGene23870,0,0,0,0,0,0,0,0,0
SpisGene23873,0,0,0,0,0,2,0,0,0
SpisGene23872,0,0,4,0,0,0,0,0,0
SpisGene23875,0,0,0,0,0,0,0,0,0
SpisGene23874,45,76,0,0,0,0,0,0,0
SpisGene23877,1846,1631,1648,2307,1596,2434,2170,829,1526
SpisGene23876,61,51,64,49,186,59,10,0,0
SpisGene24478,0,0,0,0,0,0,0,0,0
SpisGene24479,9,0,18,0,3,0,2,0,5
SpisGene24470,0,10,16,0,5,0,0,0,0
SpisGene24471,0,0,0,0,0,0,0,0,0
SpisGene24472,36,40,60,53,89,47,10,33,11
SpisGene24473,0,9,0,0,0,0,0,0,0
SpisGene24474,0,0,0,0,0,0,0,0,0
SpisGene24475,0,0,0,0,0,0,0,0,0
SpisGene24476,0,0,0,0,5,0,0,0,0
SpisGene24477,0,0,0,0,0,0,0,0,0
SpisGene3317,12,8,3,0,6,18,0,0,0
SpisGene3316,80,54,68,77,56,174,25,13,53
SpisGene3315,563,439,480,31,94,201,109,24,55
SpisGene3314,125,112,111,284,241,96,0,6,9
SpisGene3313,18,4,30,0,6,24,2,0,3
SpisGene3312,299,286,289,26,12,86,30,12,34
SpisGene3311,25,30,22,0,7,13,0,0,4
SpisGene3310,63,97,108,59,237,172,13,0,6
SpisGene3319,7,7,9,0,0,18,0,0,4
SpisGene3318,6,4,0,0,2,5,6,0,3
SpisGene14194,0,0,0,0,0,0,0,0,0
SpisGene14195,0,0,0,0,0,0,0,0,0
SpisGene14196,0,0,0,0,0,0,0,0,0
SpisGene14197,0,0,0,0,0,0,0,0,0
SpisGene14190,0,0,0,0,0,0,0,0,0
SpisGene14191,0,0,0,0,0,0,0,0,0
SpisGene14192,0,0,0,0,0,0,0,0,0
SpisGene14193,0,0,0,0,0,0,0,0,0
SpisGene14198,0,0,0,0,0,0,0,0,0
SpisGene14199,0,0,0,0,0,0,0,0,0
SpisGene23299,0,0,0,0,0,0,0,0,0
SpisGene23298,0,0,11,0,0,0,7,0,0
SpisGene23295,43,57,66,212,134,1936,97,11,103
SpisGene23294,8,7,9,0,0,2,8,0,0
SpisGene23297,0,0,8,0,0,0,0,0,0
SpisGene23296,28,39,97,7,48,0,0,89,0
SpisGene23291,634,920,663,24,384,164,82,48,66
SpisGene23290,0,0,0,3,0,0,0,0,0
SpisGene23293,3,8,8,3,2,1,2,0,0
SpisGene23292,548,666,628,31,297,172,32,0,23
SpisGene12934,0,0,0,0,0,0,0,0,0
SpisGene12935,0,0,0,0,0,0,0,4,0
SpisGene12936,0,0,0,0,0,0,0,0,0
SpisGene12937,0,0,0,0,0,0,0,0,0
SpisGene12930,22,13,31,5,4,2,0,0,4
SpisGene12931,34,23,40,8,8,24,18,16,14
SpisGene12932,12,6,7,0,0,6,0,0,0
SpisGene12933,0,0,0,0,0,0,0,0,0
SpisGene12938,6,6,4,2,7,7,2,6,1
SpisGene12939,0,6,5,0,0,0,0,0,0
SpisGene14442,1,1,1,0,2,1,0,2,0
SpisGene14443,0,0,0,0,19,38,0,0,0
SpisGene14440,84,78,79,36,12,53,7,0,9
SpisGene14441,0,0,0,34,7,0,8,3,0
SpisGene14446,0,0,0,0,0,0,0,0,0
SpisGene14447,6,0,0,0,0,0,0,0,0
SpisGene14444,0,4,8,0,73,62,2,0,4
SpisGene14445,0,0,0,0,0,8,0,0,0
SpisGene14448,3,9,0,0,0,0,0,0,0
SpisGene14449,0,0,8,0,0,0,0,0,0
SpisGene23129,9,33,97,0,40,0,0,4,0
SpisGene23128,0,0,0,0,0,0,0,0,0
SpisGene23123,6,4,12,0,8,8,0,0,0
SpisGene23122,16,4,8,0,0,0,0,0,0
SpisGene23121,24,18,26,0,0,0,0,0,0
SpisGene23120,33,26,22,7,4,29,13,0,14
SpisGene23127,5,5,0,0,5,0,0,0,0
SpisGene23126,0,5,0,0,6,20,0,0,0
SpisGene23125,14,8,0,0,4,0,0,0,0
SpisGene23124,27,136,91,5,8,24,21,27,15
SpisGene22458,135,71,115,118,282,251,76,42,59
SpisGene22459,52,48,52,53,48,98,66,32,27
SpisGene22454,4832,2778,2863,1517,2786,4754,6838,600,4197
SpisGene22455,56,46,28,16,65,47,12,5,6
SpisGene22456,11,0,0,0,0,0,0,0,0
SpisGene22457,232,251,290,84,45,158,63,55,64
SpisGene22450,0,13,0,0,0,0,0,0,0
SpisGene22451,0,0,0,0,0,0,0,0,0
SpisGene22452,217,135,127,100,81,59,119,82,69
SpisGene22453,454,389,427,443,52,220,193,105,269
SpisGene5033,925,968,902,386,274,695,686,254,312
SpisGene5352,207,141,147,193,216,158,172,67,148
SpisGene5038,948,1157,1083,1451,1979,1678,920,431,666
SpisGene5039,14,68,34,10,34,68,8,13,16
SpisGene22988,8,0,0,0,2,16,3,0,0
SpisGene22989,81,40,13,7,94,172,100,142,93
SpisGene22982,0,0,0,0,0,0,0,0,0
SpisGene22983,8,0,4,0,7,0,0,0,0
SpisGene22980,0,0,0,0,0,0,0,0,0
SpisGene22981,0,0,0,0,0,0,0,0,0
SpisGene22986,0,0,0,0,0,0,0,0,0
SpisGene22987,170,180,139,11,39,48,33,0,12
SpisGene22984,0,0,0,11,0,0,0,0,0
SpisGene22985,0,0,0,0,0,0,0,0,0
SpisGene15719,134,36,108,44,142,114,54,120,105
SpisGene15718,179,58,114,26,29,98,104,41,36
SpisGene15715,0,0,0,0,0,0,0,0,0
SpisGene15714,52,79,65,16,21,39,9,14,14
SpisGene15717,72,47,72,48,69,133,48,0,25
SpisGene15716,0,0,4,0,0,0,0,0,0
SpisGene15711,21,19,15,6,0,24,1,2,0
SpisGene15710,9,0,0,8,5,18,0,0,0
SpisGene15713,0,0,0,0,0,0,0,0,0
SpisGene15712,6,6,1,0,1,0,0,0,0
SpisGene21189,120,110,130,100,228,289,44,25,36
SpisGene21188,10,13,29,3,5,17,0,0,0
SpisGene21187,0,3,0,6,8,13,0,2,2
SpisGene21186,0,0,0,0,4,0,0,0,0
SpisGene21185,20,23,12,7,51,33,8,7,8
SpisGene21184,0,0,0,0,0,0,0,0,0
SpisGene21183,80,116,52,6,0,14,8,0,7
SpisGene21182,0,0,0,0,0,0,0,0,0
SpisGene21181,0,0,0,0,0,0,0,0,0
SpisGene21180,9,10,10,0,0,10,19,0,0
SpisGene11603,7,9,16,0,3,0,0,0,0
SpisGene11602,178,151,99,251,144,131,136,123,122
SpisGene2106,138,166,158,119,544,504,76,26,36
SpisGene11607,0,0,0,0,0,0,0,0,0
SpisGene4335,209,259,272,93,41,70,107,22,41
SpisGene11606,16,36,11,0,12,26,0,0,0
SpisGene11605,282,245,152,143,405,464,244,186,247
SpisGene11604,33,22,36,25,36,38,14,10,9
SpisGene20580,4,38,10,12,6,13,17,0,6
SpisGene20581,6,26,15,0,0,0,3,0,0
SpisGene20582,17,39,8,5,20,9,10,10,6
SpisGene20583,0,0,0,0,0,0,0,0,0
SpisGene20584,916,644,770,172,167,1318,223,108,413
SpisGene20585,0,0,0,0,0,0,0,0,0
SpisGene20586,0,0,0,0,0,0,0,0,0
SpisGene20587,0,0,0,0,0,0,0,0,0
SpisGene20588,0,0,0,0,0,0,0,0,0
SpisGene20589,0,0,0,0,0,0,0,0,0
SpisGene24801,0,0,0,0,0,0,0,0,0
SpisGene24800,0,0,0,0,0,0,0,0,0
SpisGene24803,0,0,0,0,0,0,0,0,0
SpisGene24802,115,167,105,39,43,63,72,0,18
SpisGene24805,0,0,0,0,0,0,0,0,0
SpisGene24804,143,114,51,21,70,36,23,39,47
SpisGene24807,0,0,0,0,0,0,0,0,0
SpisGene24806,0,0,0,0,0,0,0,0,0
SpisGene24809,0,0,0,0,0,0,0,0,0
SpisGene24808,0,6,14,0,0,13,0,0,0
SpisGene22212,0,0,0,0,0,0,0,0,0
SpisGene22213,0,0,0,0,0,0,0,0,0
SpisGene22210,20,17,0,0,0,0,0,0,0
SpisGene22211,17,60,43,0,4,8,0,0,0
SpisGene22216,156,118,141,40,61,58,45,50,53
SpisGene22217,18,29,47,0,5,0,0,0,0
SpisGene16165,39,88,30,30,184,125,38,226,126
SpisGene22215,146,132,230,74,115,263,63,54,50
SpisGene22218,5,5,0,0,4,8,5,0,3
SpisGene16168,241,212,146,0,30,33,7,7,11
SpisGene1867,100,73,112,44,29,63,35,0,41
SpisGene11170,356,371,764,1533,3561,957,216,265,125
SpisGene18990,257,234,269,452,413,288,227,146,127
SpisGene18991,1181,1020,992,440,1143,1151,266,93,190
SpisGene18992,620,472,528,1594,1734,1177,1040,594,784
SpisGene18993,78,111,126,127,90,93,37,51,53
SpisGene18994,16,0,8,4,0,5,0,0,0
SpisGene18995,0,0,11,0,0,5,0,0,0
SpisGene18996,0,0,0,0,0,6,0,0,0
SpisGene18997,0,0,0,0,0,0,0,0,0
SpisGene18998,534,654,544,705,705,604,800,1379,1040
SpisGene18999,0,5,5,5,7,10,0,0,0
SpisGene11176,649,350,300,357,2022,3165,610,3629,2048
SpisGene21978,0,0,0,0,0,0,0,0,0
SpisGene21979,0,4,0,0,3,0,0,0,0
SpisGene21976,0,0,0,78,0,34,12,7,12
SpisGene21977,195,338,362,30,196,138,58,88,41
SpisGene21974,0,0,0,0,0,0,0,0,0
SpisGene21975,0,0,0,0,0,0,0,0,0
SpisGene21972,0,0,18,0,44,0,0,0,0
SpisGene21973,804,746,681,90,55,201,511,100,516
SpisGene21970,511,534,557,1361,749,844,598,539,476
SpisGene21971,47,62,56,27,48,66,9,0,0
SpisGene14389,409,407,555,12,109,119,8,8,11
SpisGene14388,371,391,444,586,1077,874,96,129,124
SpisGene13768,0,0,0,0,0,0,0,0,0
SpisGene14382,0,0,0,0,0,0,0,0,0
SpisGene18006,0,0,25,0,0,0,0,0,0
SpisGene18007,0,0,0,0,0,0,0,0,0
SpisGene15032,13597,10296,9773,21337,16179,19174,52898,23919,34455
SpisGene18005,0,11,10,34,27,29,0,0,0
SpisGene15034,639,474,683,237,1641,1181,92,131,115
SpisGene18003,120,125,126,16,16,69,45,5,3
SpisGene18000,80,51,33,13,100,179,128,178,181
SpisGene15037,981,910,776,36,53,128,36,66,91
SpisGene5816,8,6,6,0,4,5,0,0,0
SpisGene5817,263,144,150,30,51,101,146,204,177
SpisGene5814,12,30,0,31,0,11,0,0,0
SpisGene5815,737,795,665,104,127,305,201,140,315
SpisGene5812,515,854,520,69,306,297,66,50,48
SpisGene5813,200,166,137,76,407,137,17,53,14
SpisGene5810,16042,17170,19323,8686,28093,6737,25902,5161,10751
SpisGene5811,336,372,348,57,152,103,79,71,47
SpisGene16738,0,0,0,0,0,33,0,0,4
SpisGene16739,83,87,163,0,20,28,0,0,0
SpisGene5818,135,72,47,13,102,196,29,11,15
SpisGene5819,358,292,309,136,359,343,65,22,25
SpisGene11968,0,0,0,0,0,0,0,0,0
SpisGene11969,1139,1197,1086,239,593,592,441,255,359
SpisGene11962,1315,665,392,39,20,214,46,81,59
SpisGene11963,1000,1488,1032,0,0,0,0,4,0
SpisGene11960,43,37,35,35,83,105,14,8,0
SpisGene11961,1079,926,984,2341,2658,2236,1546,2521,1111
SpisGene11966,3,3,8,0,0,0,0,0,0
SpisGene11967,4,6,0,0,0,3,0,0,0
SpisGene11964,64,120,109,9,20,51,0,0,0
SpisGene11965,0,0,0,0,0,0,0,0,0
SpisGene11394,326,305,427,22,53,137,15,8,0
SpisGene17069,262,241,268,288,944,806,197,31,100
SpisGene17068,454,572,645,406,2455,732,140,33,112
SpisGene17065,10,16,12,0,0,28,3,0,0
SpisGene17064,14,17,39,4,22,37,6,0,13
SpisGene17067,66,93,74,0,0,29,5,0,0
SpisGene17066,10,52,23,3,0,87,0,2,0
SpisGene17061,0,0,6,0,0,0,0,0,0
SpisGene17060,0,0,0,0,0,0,0,0,0
SpisGene17063,0,22,11,0,0,0,6,0,0
SpisGene17062,490,464,366,91,261,698,220,161,203
SpisGene14608,7,26,49,11,16,43,4,0,0
SpisGene14609,185,405,366,17,21,31,75,5,51
SpisGene14604,531,529,658,107,263,454,197,50,114
SpisGene14605,76,70,70,0,10,0,23,12,8
SpisGene14606,897,864,849,977,849,1015,492,763,603
SpisGene14607,794,826,768,1407,1218,1810,974,815,944
SpisGene14600,6,12,9,14,35,0,8,0,3
SpisGene14601,21,23,32,18,75,146,21,16,23
SpisGene14602,69,99,70,21,39,104,21,10,37
SpisGene14603,315,310,218,184,94,293,175,125,138
SpisGene10778,1019,788,855,1457,4059,2250,1229,917,799
SpisGene10779,25,23,29,0,2,0,0,0,0
SpisGene10774,5,18,15,0,44,7,0,0,0
SpisGene10775,0,0,0,0,0,0,0,0,0
SpisGene10776,234,202,214,346,261,373,177,235,341
SpisGene10777,10,0,0,0,0,6,0,0,0
SpisGene10770,357,390,361,221,337,520,528,566,431
SpisGene10771,1267,1050,1142,739,1396,1810,1856,1396,2813
SpisGene10772,6,4,9,2,0,0,0,0,0
SpisGene10773,0,0,0,0,0,0,0,0,0
SpisGene18569,296,187,194,114,147,221,140,38,93
SpisGene18568,804,689,727,496,896,1355,909,589,587
SpisGene18561,0,5,0,0,4,21,0,0,3
SpisGene18560,0,0,14,3,0,16,0,0,4
SpisGene18563,9,30,7,0,14,0,0,0,0
SpisGene18562,0,0,9,0,9,16,0,0,0
SpisGene18565,273,157,100,61,358,205,210,152,265
SpisGene18564,784,887,964,898,1832,1017,482,366,440
SpisGene18567,0,0,0,0,0,0,0,0,0
SpisGene18566,32,18,23,23,82,90,43,64,51
SpisGene7508,141,130,194,31,64,90,58,7,43
SpisGene7509,0,0,5,4,0,2,0,0,0
SpisGene7506,342,369,272,33,295,354,110,59,134
SpisGene7507,117,106,150,12,93,130,32,18,31
SpisGene7504,0,0,0,0,0,0,0,0,0
SpisGene7505,20,21,43,3,0,10,0,0,0
SpisGene7502,189,83,179,75,163,193,82,61,45
SpisGene7503,4,0,0,0,0,0,3,0,0
SpisGene7500,559,539,471,53,115,218,294,84,266
SpisGene7501,0,9,6,0,7,0,0,0,5
SpisGene6679,36,106,116,0,106,135,11,7,19
SpisGene6678,75,44,120,31,44,36,20,24,32
SpisGene6677,0,0,0,0,0,0,0,0,0
SpisGene6676,0,0,0,0,0,0,0,0,0
SpisGene6675,34,18,26,6,4,12,14,10,25
SpisGene6674,0,0,0,0,0,4,0,0,0
SpisGene6673,0,0,0,0,0,0,0,0,0
SpisGene6672,0,0,0,0,0,0,0,0,0
SpisGene6671,1831,2474,1898,137,1036,421,159,46,160
SpisGene6670,219,222,223,74,159,171,72,18,110
SpisGene4297,142,99,180,144,0,0,0,0,0
SpisGene18389,76,99,104,191,318,98,123,200,74
SpisGene18388,259,329,290,218,147,236,168,182,165
SpisGene4296,231,121,149,52,226,688,216,592,440
SpisGene18385,46,30,14,19,11,44,149,23,94
SpisGene18384,478,558,560,304,293,325,517,150,249
SpisGene18387,745,805,807,605,1073,548,469,352,343
SpisGene18386,36,24,26,32,27,42,42,13,13
SpisGene18381,1184,1395,1265,1374,1248,1581,1168,823,977
SpisGene18380,142,141,142,174,161,181,178,132,148
SpisGene18383,87,108,132,61,167,157,43,52,52
SpisGene18382,186,188,170,108,154,145,96,58,48
SpisGene1904,157,98,46,20,23,90,55,55,74
SpisGene1905,11447,14525,8907,1103,1317,2050,977,321,1087
SpisGene1906,11,25,14,10,35,32,28,76,50
SpisGene1907,466,334,460,255,1321,212,57,38,41
SpisGene1900,431,600,335,483,485,576,394,269,248
SpisGene1901,6763,4420,4145,5734,5093,10382,16842,8600,11832
SpisGene1902,211,193,167,472,324,622,284,142,205
SpisGene1903,1155,804,771,350,823,1221,876,325,907
SpisGene4293,36,26,58,13,30,46,3,11,0
SpisGene1908,241,125,262,683,1074,123,33,540,35
SpisGene1909,250,195,247,271,146,266,261,150,167
SpisGene4292,1704,1386,2120,2975,4535,144,416,906,128
SpisGene12608,0,0,0,0,0,0,0,0,0
SpisGene12609,0,0,0,0,0,0,0,0,0
SpisGene4291,38,32,45,21,64,118,14,52,47
SpisGene12602,23,32,30,0,11,11,10,6,7
SpisGene12603,7,14,0,0,0,0,0,0,0
SpisGene12600,184,205,263,94,194,144,67,29,29
SpisGene12601,156,186,164,198,291,182,106,67,114
SpisGene12606,56,55,47,67,0,130,345,12,70
SpisGene12607,3,0,0,0,0,0,0,0,0
SpisGene12604,269,305,229,97,266,203,84,0,41
SpisGene12605,10,5,25,39,8,43,9,7,16
SpisGene13955,0,7,0,0,0,7,0,0,0
